Linux 3.4.94 (localhost.localdomain) 	11/08/2017 	_x86_64_	(16 CPU)

08:40:23 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:43:23 PM     all      0.19      0.00      0.09      0.00      0.00     99.72
08:43:25 PM     all      0.34      0.00      0.62      0.00      0.00     99.03
08:43:27 PM     all      0.09      0.00      0.31      0.00      0.00     99.59
08:43:29 PM     all      0.16      0.00      0.06      0.00      0.00     99.78
08:43:31 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:43:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:43:35 PM     all      0.44      0.00      0.62      0.00      0.00     98.94
08:43:37 PM     all      0.13      0.00      0.38      0.00      0.00     99.50
08:43:39 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:43:41 PM     all      0.88      0.00      0.19      0.00      0.00     98.94
08:43:43 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
08:43:45 PM     all      0.31      0.00      0.53      0.00      0.00     99.15
08:43:47 PM     all      0.03      0.00      0.28      0.19      0.00     99.50
08:43:49 PM     all      1.22      0.00      0.31      0.00      0.00     98.47
08:43:51 PM     all      0.47      0.00      0.13      0.03      0.00     99.37
08:43:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:43:55 PM     all      1.38      0.03      0.75      0.00      0.00     97.84
08:43:57 PM     all      0.44      0.00      0.09      0.00      0.00     99.47
08:43:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:01 PM     all      0.31      0.00      0.16      0.00      0.00     99.53
08:44:03 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:44:05 PM     all      0.28      0.00      0.56      0.00      0.00     99.16
08:44:07 PM     all      0.03      0.00      0.31      0.00      0.00     99.65
08:44:09 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:44:11 PM     all      0.25      0.00      0.13      0.00      0.00     99.62
08:44:13 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
08:44:15 PM     all      0.03      0.00      0.34      0.00      0.00     99.62
08:44:17 PM     all      0.03      0.00      0.38      0.00      0.00     99.59
08:44:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:44:21 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:44:23 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:44:25 PM     all      0.13      0.00      0.38      0.00      0.00     99.50
08:44:27 PM     all      0.19      0.00      0.54      0.57      0.00     98.70
08:44:29 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
08:44:31 PM     all      0.69      0.00      0.22      0.00      0.00     99.09
08:44:33 PM     all      0.28      0.00      0.06      0.00      0.00     99.66
08:44:35 PM     all      0.03      0.00      0.25      0.00      0.00     99.72
08:44:37 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
08:44:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:44:43 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
08:44:45 PM     all      0.03      0.00      0.31      0.00      0.00     99.66
08:44:47 PM     all      0.03      0.03      0.41      0.00      0.00     99.53
08:44:49 PM     all      0.44      0.00      0.09      0.00      0.00     99.47
08:44:51 PM     all      0.94      0.00      0.16      0.03      0.00     98.87
08:44:53 PM     all      0.41      0.00      0.09      0.00      0.00     99.50
08:44:55 PM     all      0.59      0.00      0.38      0.00      0.00     99.03
08:44:57 PM     all      0.63      0.00      0.47      0.00      0.00     98.90
08:44:59 PM     all      0.44      0.00      0.06      0.00      0.00     99.50
08:45:01 PM     all      1.75      0.00      0.44      0.00      0.00     97.81
08:45:03 PM     all      0.81      0.00      0.13      0.00      0.00     99.06
08:45:05 PM     all      1.69      0.00      0.50      0.00      0.00     97.81
08:45:07 PM     all      0.50      0.00      0.44      0.44      0.00     98.61
08:45:09 PM     all      0.56      0.00      0.09      0.00      0.00     99.34
08:45:11 PM     all      0.41      0.00      0.16      0.00      0.00     99.44
08:45:13 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:45:15 PM     all      0.38      0.00      0.16      0.00      0.00     99.47
08:45:17 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:45:19 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:45:21 PM     all      0.34      0.00      0.13      0.00      0.00     99.53
08:45:23 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:45:25 PM     all      0.38      0.00      0.16      0.00      0.00     99.47
08:45:27 PM     all      0.41      0.00      0.09      0.00      0.00     99.50
08:45:29 PM     all      0.59      0.00      0.13      0.00      0.00     99.28
08:45:31 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
08:45:33 PM     all      1.38      0.00      0.28      0.00      0.00     98.34
08:45:35 PM     all      0.78      0.03      0.25      0.00      0.00     98.94
08:45:37 PM     all      0.50      0.00      0.13      0.00      0.00     99.37
08:45:39 PM     all      0.88      0.00      0.13      0.00      0.00     99.00
08:45:41 PM     all      1.06      0.00      0.19      0.00      0.00     98.75
08:45:43 PM     all      1.13      0.00      0.22      0.00      0.00     98.65
08:45:45 PM     all      1.03      0.00      0.25      0.00      0.00     98.72
08:45:47 PM     all      0.94      0.00      0.16      0.00      0.00     98.90
08:45:49 PM     all      0.94      0.00      0.19      0.00      0.00     98.87
08:45:51 PM     all      0.69      0.00      0.09      0.00      0.00     99.22
08:45:53 PM     all      1.13      0.00      0.22      0.00      0.00     98.65
08:45:55 PM     all      0.78      0.00      0.03      0.00      0.00     99.19
08:45:57 PM     all      0.97      0.00      0.13      0.00      0.00     98.90
08:45:59 PM     all      0.85      0.00      0.09      0.00      0.00     99.06
08:46:01 PM     all      0.91      0.00      0.13      0.00      0.00     98.97
08:46:03 PM     all      0.69      0.00      0.13      0.00      0.00     99.19
08:46:05 PM     all      0.75      0.00      0.09      0.00      0.00     99.15
08:46:07 PM     all      0.78      0.03      0.13      0.00      0.00     99.06
08:46:09 PM     all      0.66      0.00      0.13      0.00      0.00     99.22
08:46:11 PM     all      0.72      0.00      0.09      0.00      0.00     99.19
08:46:13 PM     all      1.66      0.00      0.34      0.00      0.00     98.00
08:46:15 PM     all      0.78      0.00      0.06      0.00      0.00     99.15
08:46:17 PM     all      1.13      0.00      0.22      0.00      0.00     98.65
08:46:19 PM     all      0.75      0.00      0.06      0.00      0.00     99.19
08:46:21 PM     all      0.78      0.00      0.09      0.00      0.00     99.12
08:46:23 PM     all      1.06      0.00      0.19      0.00      0.00     98.75
08:46:25 PM     all      0.72      0.00      0.09      0.00      0.00     99.19
08:46:27 PM     all      1.06      0.00      0.19      0.00      0.00     98.75
08:46:29 PM     all      0.50      0.00      0.06      0.00      0.00     99.44
08:46:31 PM     all      1.03      0.00      0.16      0.00      0.00     98.81
08:46:33 PM     all      1.22      0.00      0.28      0.00      0.00     98.50
08:46:35 PM     all      0.31      0.00      0.03      0.00      0.00     99.66
08:46:37 PM     all      0.91      0.00      0.22      0.00      0.00     98.87
08:46:39 PM     all      0.53      0.00      0.03      0.00      0.00     99.44
08:46:41 PM     all      0.50      0.00      0.06      0.00      0.00     99.44
08:46:43 PM     all      0.38      0.00      0.09      0.00      0.00     99.53
08:46:45 PM     all      0.31      0.00      0.06      0.00      0.00     99.62
08:46:47 PM     all      0.34      0.00      0.06      0.00      0.00     99.59
08:46:49 PM     all      0.50      0.00      0.06      0.00      0.00     99.44
08:46:51 PM     all      0.47      0.00      0.09      0.00      0.00     99.44
08:46:53 PM     all      1.28      0.00      0.28      0.00      0.00     98.44
08:46:55 PM     all      0.97      0.00      0.19      0.00      0.00     98.84
08:46:57 PM     all      0.34      0.00      0.03      0.00      0.00     99.62
08:46:59 PM     all      1.25      0.00      0.25      0.00      0.00     98.50
08:47:01 PM     all      0.56      0.00      0.13      0.00      0.00     99.31
08:47:03 PM     all      0.53      0.00      0.06      0.00      0.00     99.41
08:47:05 PM     all      0.85      0.00      0.19      0.00      0.00     98.97
08:47:07 PM     all      0.38      0.00      0.09      0.00      0.00     99.53
08:47:09 PM     all      0.66      0.00      0.13      0.00      0.00     99.22
08:47:11 PM     all      0.41      0.00      0.06      0.00      0.00     99.53
08:47:13 PM     all      0.47      0.00      0.06      0.00      0.00     99.47
08:47:15 PM     all      0.84      0.00      0.19      0.00      0.00     98.97
08:47:17 PM     all      0.38      0.00      0.06      0.00      0.00     99.56
08:47:19 PM     all      0.72      0.00      0.16      0.00      0.00     99.12
08:47:21 PM     all      0.38      0.00      0.09      0.00      0.00     99.53
08:47:23 PM     all      0.38      0.00      0.06      0.00      0.00     99.56
08:47:25 PM     all      0.12      0.03      0.06      0.03      0.00     99.75
08:47:27 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:47:29 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
08:47:31 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
08:47:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:35 PM     all      1.28      0.00      0.31      0.00      0.00     98.41
08:47:37 PM     all      1.19      0.00      0.22      0.00      0.00     98.59
08:47:39 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:47:41 PM     all      0.22      0.00      0.06      0.00      0.00     99.72
08:47:43 PM     all      1.06      0.00      0.28      0.00      0.00     98.66
08:47:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:47 PM     all      0.69      0.00      0.25      0.00      0.00     99.06
08:47:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:51 PM     all      0.19      0.00      0.09      0.00      0.00     99.72
08:47:53 PM     all      0.50      0.00      0.16      0.00      0.00     99.34
08:47:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:57 PM     all      0.72      0.00      0.25      0.00      0.00     99.03
08:47:59 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:48:01 PM     all      0.28      0.00      0.13      0.00      0.00     99.59
08:48:03 PM     all      0.50      0.00      0.16      0.00      0.00     99.34
08:48:05 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:48:07 PM     all      0.69      0.00      0.22      0.00      0.00     99.09
08:48:09 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
08:48:11 PM     all      0.19      0.00      0.09      0.00      0.00     99.72
08:48:13 PM     all      0.50      0.00      0.13      0.00      0.00     99.37
08:48:15 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:48:17 PM     all      0.72      0.00      0.22      0.00      0.00     99.06
08:48:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:48:21 PM     all      0.25      0.00      0.06      0.00      0.00     99.69
08:48:23 PM     all      0.47      0.00      0.19      0.00      0.00     99.34
08:48:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:48:27 PM     all      0.69      0.00      0.25      0.00      0.00     99.06
08:48:29 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
08:48:31 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
08:48:33 PM     all      0.38      0.00      0.09      0.00      0.00     99.53
08:48:35 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
08:48:37 PM     all      0.13      0.00      0.03      0.00      0.00     99.84
08:48:39 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:48:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:48:43 PM     all      0.91      0.00      0.16      0.00      0.00     98.94
08:48:45 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
08:48:47 PM     all      0.41      0.00      0.09      0.00      0.00     99.50
08:48:49 PM     all      0.12      0.00      0.03      0.00      0.00     99.84
