Linux 3.18.58 (localhost.localdomain) 	12/12/2017 	_x86_64_	(16 CPU)

07:31:20 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:34:20 PM     all      0.66      0.00      0.16      0.00      0.00     99.19
07:34:22 PM     all      0.31      0.00      0.06      0.00      0.00     99.62
07:34:24 PM     all      0.50      0.00      0.09      0.00      0.00     99.41
07:34:26 PM     all      0.92      0.00      0.76      0.00      0.00     98.33
07:34:28 PM     all      0.28      0.00      0.06      0.00      0.00     99.66
07:34:30 PM     all      0.34      0.00      0.13      0.00      0.00     99.53
07:34:32 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:34:34 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
07:34:36 PM     all      0.41      0.00      0.73      0.00      0.00     98.86
07:34:38 PM     all      1.25      0.00      0.31      0.00      0.00     98.44
07:34:40 PM     all      0.28      0.00      0.03      0.00      0.00     99.69
07:34:42 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:34:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:34:46 PM     all      0.03      0.00      0.19      0.00      0.00     99.78
07:34:48 PM     all      0.00      0.03      0.06      0.00      0.00     99.91
07:34:50 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:34:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:34:54 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:34:56 PM     all      0.03      0.00      0.54      0.00      0.00     99.43
07:34:58 PM     all      0.91      0.00      0.19      0.00      0.00     98.91
07:35:00 PM     all      0.09      0.00      0.06      0.00      0.00     99.84
07:35:02 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:35:04 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
07:35:06 PM     all      1.17      0.00      0.73      0.00      0.00     98.10
07:35:08 PM     all      0.91      0.00      0.16      0.00      0.00     98.94
07:35:10 PM     all      0.41      0.00      0.09      0.00      0.00     99.50
07:35:12 PM     all      0.41      0.00      0.06      0.00      0.00     99.53
07:35:14 PM     all      0.72      0.00      0.16      0.00      0.00     99.12
07:35:16 PM     all      0.69      0.00      0.73      0.03      0.00     98.55
07:35:18 PM     all      0.94      0.00      0.16      0.00      0.00     98.90
07:35:20 PM     all      0.53      0.00      0.06      0.00      0.00     99.41
07:35:22 PM     all      0.47      0.00      0.06      0.00      0.00     99.47
07:35:24 PM     all      0.72      0.00      0.22      0.00      0.00     99.06
07:35:26 PM     all      0.41      0.00      0.25      0.00      0.00     99.34
07:35:28 PM     all      0.88      0.00      0.16      0.00      0.00     98.97
07:35:30 PM     all      0.47      0.00      0.09      0.00      0.00     99.44
07:35:32 PM     all      0.53      0.00      0.06      0.00      0.00     99.41
07:35:34 PM     all      0.84      0.00      0.19      0.00      0.00     98.97
07:35:36 PM     all      2.19      0.00      1.81      0.51      0.00     95.48
07:35:38 PM     all      0.75      0.00      0.09      0.00      0.00     99.15
07:35:40 PM     all      0.50      0.00      0.09      0.00      0.00     99.41
07:35:42 PM     all      0.53      0.00      0.06      0.00      0.00     99.41
07:35:44 PM     all      0.88      0.00      0.19      0.00      0.00     98.94
07:35:46 PM     all      0.50      0.00      0.60      0.00      0.00     98.90
07:35:48 PM     all      0.41      0.00      0.06      0.00      0.00     99.53
07:35:50 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:35:52 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:35:54 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:35:56 PM     all      0.03      0.00      0.63      0.00      0.00     99.34
07:35:58 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:36:00 PM     all      1.34      0.03      0.38      0.00      0.00     98.25
07:36:02 PM     all      0.28      0.00      0.00      0.00      0.00     99.72
07:36:04 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:36:06 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:36:08 PM     all      0.94      0.00      0.28      0.00      0.00     98.78
07:36:10 PM     all      0.59      0.00      0.09      0.00      0.00     99.31
07:36:12 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:36:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:36:16 PM     all      0.09      0.00      0.03      0.00      0.00     99.88
07:36:18 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:36:20 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:36:22 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:36:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:36:26 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:36:28 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:36:30 PM     all      0.00      0.03      0.06      0.00      0.00     99.91
07:36:32 PM     all      1.19      0.00      0.16      0.00      0.00     98.66
07:36:34 PM     all      0.53      0.00      0.06      0.00      0.00     99.41
07:36:36 PM     all      0.47      0.00      0.03      0.00      0.00     99.50
07:36:38 PM     all      0.44      0.00      0.09      0.00      0.00     99.47
07:36:40 PM     all      0.38      0.00      0.03      0.00      0.00     99.59
07:36:42 PM     all      0.59      0.00      0.09      0.00      0.00     99.31
07:36:44 PM     all      0.59      0.00      0.06      0.00      0.00     99.34
07:36:46 PM     all      0.56      0.00      0.09      0.00      0.00     99.34
07:36:48 PM     all      0.47      0.00      0.06      0.00      0.00     99.47
07:36:50 PM     all      0.50      0.00      0.06      0.00      0.00     99.44
07:36:52 PM     all      1.78      0.00      0.34      0.00      0.00     97.87
07:36:54 PM     all      1.31      0.00      0.19      0.00      0.00     98.50
07:36:56 PM     all      1.38      0.00      0.19      0.00      0.00     98.44
07:36:58 PM     all      1.22      0.00      0.13      0.00      0.00     98.65
07:37:00 PM     all      1.13      0.00      0.13      0.00      0.00     98.75
07:37:02 PM     all      1.44      0.00      0.25      0.00      0.00     98.31
07:37:04 PM     all      0.97      0.00      0.13      0.00      0.00     98.91
07:37:06 PM     all      1.38      0.00      0.16      0.03      0.00     98.44
07:37:08 PM     all      0.88      0.00      0.09      0.00      0.00     99.03
07:37:10 PM     all      1.06      0.00      0.09      0.00      0.00     98.84
07:37:12 PM     all      1.54      0.00      0.22      0.00      0.00     98.25
07:37:14 PM     all      1.13      0.00      0.13      0.00      0.00     98.75
07:37:16 PM     all      1.47      0.00      0.19      0.00      0.00     98.34
07:37:18 PM     all      0.97      0.00      0.16      0.00      0.00     98.87
07:37:20 PM     all      0.94      0.00      0.13      0.00      0.00     98.94
07:37:22 PM     all      0.38      0.00      0.06      0.00      0.00     99.56
07:37:24 PM     all      0.59      0.00      0.06      0.00      0.00     99.34
07:37:26 PM     all      0.38      0.00      0.06      0.00      0.00     99.56
07:37:28 PM     all      0.97      0.00      0.28      0.00      0.00     98.75
07:37:30 PM     all      0.59      0.00      0.09      0.00      0.00     99.31
07:37:32 PM     all      1.16      0.00      0.28      0.00      0.00     98.56
07:37:34 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
07:37:36 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:37:38 PM     all      1.09      0.00      0.16      0.00      0.00     98.75
07:37:40 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:37:42 PM     all      0.38      0.00      0.13      0.00      0.00     99.50
07:37:44 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:37:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:37:48 PM     all      1.56      0.00      0.38      0.00      0.00     98.06
07:37:50 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
07:37:52 PM     all      1.56      0.00      0.22      0.00      0.00     98.22
07:37:54 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:37:56 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:37:58 PM     all      0.72      0.00      0.28      0.00      0.00     99.00
07:38:00 PM     all      0.09      0.03      0.09      0.00      0.00     99.78
07:38:02 PM     all      0.72      0.00      0.25      0.00      0.00     99.03
07:38:04 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:38:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:38:08 PM     all      0.72      0.00      0.22      0.00      0.00     99.06
07:38:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:38:12 PM     all      0.72      0.00      0.19      0.00      0.00     99.09
07:38:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:38:16 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:38:18 PM     all      0.72      0.00      0.22      0.00      0.00     99.06
07:38:20 PM     all      0.13      0.00      0.00      0.00      0.00     99.87
07:38:22 PM     all      0.34      0.00      0.13      0.00      0.00     99.53
07:38:24 PM     all      1.34      0.00      0.28      0.00      0.00     98.37
07:38:26 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
07:38:28 PM     all      1.19      0.00      0.22      0.00      0.00     98.59
07:38:30 PM     all      0.88      0.00      0.09      0.00      0.00     99.03
07:38:32 PM     all      2.22      0.00      0.41      0.00      0.00     97.37
07:38:34 PM     all      1.00      0.00      0.13      0.00      0.00     98.87
07:38:36 PM     all      0.63      0.00      0.13      0.00      0.00     99.25
07:38:38 PM     all      0.81      0.00      0.13      0.00      0.00     99.06
07:38:40 PM     all      0.78      0.00      0.09      0.00      0.00     99.12
07:38:42 PM     all      0.75      0.00      0.09      0.00      0.00     99.16
07:38:44 PM     all      0.78      0.00      0.06      0.00      0.00     99.15
07:38:46 PM     all      0.78      0.00      0.09      0.00      0.00     99.12
07:38:48 PM     all      0.88      0.00      0.16      0.00      0.00     98.97
07:38:50 PM     all      0.75      0.00      0.09      0.00      0.00     99.16
07:38:52 PM     all      1.69      0.03      0.41      0.00      0.00     97.87
07:38:54 PM     all      1.10      0.00      0.13      0.00      0.00     98.78
07:38:56 PM     all      0.66      0.00      0.06      0.00      0.00     99.28
07:38:58 PM     all      0.75      0.00      0.13      0.00      0.00     99.12
07:39:00 PM     all      0.91      0.03      0.16      0.00      0.00     98.90
07:39:02 PM     all      0.81      0.00      0.09      0.00      0.00     99.09
07:39:04 PM     all      0.66      0.00      0.09      0.00      0.00     99.25
07:39:06 PM     all      0.59      0.00      0.13      0.00      0.00     99.28
07:39:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:39:10 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
07:39:12 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
07:39:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:39:16 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
07:39:18 PM     all      2.57      0.00      0.47      0.00      0.00     96.96
07:39:20 PM     all      0.56      0.00      0.06      0.00      0.00     99.37
07:39:22 PM     all      0.41      0.00      0.03      0.00      0.00     99.56
07:39:24 PM     all      0.41      0.00      0.06      0.00      0.00     99.53
07:39:26 PM     all      0.53      0.00      0.09      0.00      0.00     99.37
07:39:28 PM     all      0.53      0.00      0.03      0.00      0.00     99.44
07:39:30 PM     all      0.41      0.00      0.06      0.00      0.00     99.53
07:39:32 PM     all      0.44      0.00      0.03      0.00      0.00     99.53
